theme,site_name,point_name,latitude,longitude
Subtidal Meuble,Vilaine Large Sud,WA,47.40835,-2.843483333
Subtidal Meuble,Vilaine Large Sud,WB,47.40848333,-2.84415
Subtidal Meuble,Vilaine Large Sud,WC,47.40805,-2.843533333
Subtidal Meuble,Vilaine Large Nord,XA,47.36776667,-2.604216667
Subtidal Meuble,Vilaine Large Nord,XB,47.36795,-2.604866667
Subtidal Meuble,Vilaine Large Nord,XC,47.3673,-2.604366667
Subtidal Meuble,Vilaine Cote,VA,47.47478333,-2.5546
Subtidal Meuble,Vilaine Cote,VB,47.47281667,-2.552483333
Subtidal Meuble,Vilaine Cote,VC,47.47055,-2.549716667
Bancs de Maërl,Trevignon,Trévignon Maërl 1,47.7917666666667,-3.88258333333333
Bancs de Maërl,Trevignon,Trévignon Maërl 2,47.7917666666667,-3.88413333333333
Bancs de Maërl,Trevignon,Trévignon Maërl 3,47.7915833333333,-3.88576666666667
Herbiers Intertidaux,Sept-Iles,Sept-Iles 1,48.8815333333333,-3.49151666666667
Herbiers Intertidaux,Sept-Iles,Sept-Iles 2,48.8822333333333,-3.4912
Herbiers Intertidaux,Sept-Iles,Sept-Iles 3,48.8807333333333,-3.49316666666667
Herbiers Intertidaux,Sainte-Marguerite,Sainte-Marguerite H1,48.59685,-4.62316666666667
Herbiers Intertidaux,Sainte-Marguerite,Sainte-Marguerite H2,48.5971666666667,-4.62406666666667
Herbiers Intertidaux,Sainte-Marguerite,Sainte-Marguerite H3,48.5973333333333,-4.62498333333333
Intertidal Meuble,Sainte-Marguerite,Sainte-Marguerite IM1,48.6058333333333,-4.61091666666667
Intertidal Meuble,Sainte-Marguerite,Sainte-Marguerite IM2,48.6055666666667,-4.61338333333333
Intertidal Meuble,Sainte-Marguerite,Sainte-Marguerite IM3,48.6072666666667,-4.61256666666667
Herbiers Intertidaux,Saint-Malo,Saint-Malo 1,48.6496333333333,-2.0343
Herbiers Intertidaux,Saint-Malo,Saint-Malo 2,48.6493,-2.03396666666667
Herbiers Intertidaux,Saint-Malo,Saint-Malo 3,48.6487333333333,-2.0332
Intertidal Meuble,Saint-Efflam,Saint-Efflam Sables 1,48.6777833333333,-3.60471666666667
Intertidal Meuble,Saint-Efflam,Saint-Efflam Sables 2,48.6782833333333,-3.59488333333333
Intertidal Meuble,Saint-Efflam,Saint-Efflam Sables 3,48.6822666666667,-3.58716666666667
Intertidal Meuble,Saint-Cast,Saint-Cast Sables 1,48.633,-2.25091666666667
Intertidal Meuble,Saint-Cast,Saint-Cast Sables 2,48.6306,-2.25006666666667
Intertidal Meuble,Saint-Cast,Saint-Cast Sables 3,48.6284833333333,-2.24673333333333
Intertidal Meuble,Saint-Briac,Saint-Briac Sables 1,48.6363,-2.1373
Intertidal Meuble,Saint-Briac,Saint-Briac Sables 2,48.63675,-2.13626666666667
Intertidal Meuble,Saint-Briac,Saint-Briac Sables 3,48.6373333333333,-2.13513333333333
Intertidal Meuble,Saint-Benoit,Saint-Benoit 1,48.6226833333333,-1.83716666666667
Intertidal Meuble,Saint-Benoit,Saint-Benoit 2,48.626,-1.838
Intertidal Meuble,Saint-Benoit,Saint-Benoit 3,48.626,-1.83916666666667
Subtidal Meuble,Rade de Brest - Larmor,BA,48.33463333,-4.457966667
Subtidal Meuble,Rade de Brest - Larmor,BB,48.3371,-4.46015
Subtidal Meuble,Rade de Brest - Larmor,BC,48.3332,-4.455166667
Intertidal Meuble,Rade de Brest,Rade de Brest Sables 2 (Penn al Lann),48.3309333333333,-4.37136666666667
Intertidal Meuble,Rade de Brest,Rade de Brest Sables 1 (Squiffiec),48.3249833333333,-4.39325
Intertidal Meuble,Rade de Brest,Rade de Brest Sables 3 (Le Roz),48.3281333333333,-4.32136666666667
Bancs de Maërl,Rade de Brest,Rade de Brest-Rozegat Maërl 1,48.3203833333333,-4.38765
Bancs de Maërl,Rade de Brest,Rade de Brest-Rozegat Maërl 2,48.32195,-4.37116666666667
Bancs de Maërl,Rade de Brest,Rade de Brest-Rozegat Maërl 3,48.31355,-4.3653
Herbiers Intertidaux,Roscanvel,Roscanvel Herbier 1,48.33355,-4.53608333333333
Herbiers Intertidaux,Roscanvel,Roscanvel Herbier 2,48.3330833333333,-4.53638333333333
Herbiers Intertidaux,Roscanvel,Roscanvel Herbier 3,48.3322333333333,-4.53683333333333
Subtidal Meuble,Quiberon,QA,47.48306667,-3.056366667
Subtidal Meuble,Quiberon,QB,47.48338333,-3.059866667
Subtidal Meuble,Quiberon,QC,47.4821,-3.050633333
Intertidal Meuble,Plouharnel,Plouharnel 1,47.56335,-3.11905
Intertidal Meuble,Plouharnel,Plouharnel 2,47.5591833333333,-3.12016666666667
Intertidal Meuble,Plouharnel,Plouharnel 3,47.5542666666667,-3.12113333333333
Intertidal Meuble,Plage de l'Aber,Plage de l'Aber Sables 1,48.2344166666667,-4.45203333333333
Intertidal Meuble,Plage de l'Aber,Plage de l'Aber Sables 2,48.2322833333333,-4.44666666666667
Intertidal Meuble,Plage de l'Aber,Plage de l'Aber Sables 3,48.2295,-4.44191666666667
Bancs de Maërl,Morlaix,Morlaix Maërl 1,48.7122166666667,-3.9337
Bancs de Maërl,Morlaix,Morlaix Maërl 2,48.6887833333333,-3.90615
Bancs de Maërl,Morlaix,Morlaix Maërl 3,48.68885,-3.90645
Herbiers Intertidaux,Callot,Callot Herbier 1,48.6848,-3.91626666666667
Herbiers Intertidaux,Callot,Callot Herbier 2,48.6844,-3.91613333333333
Herbiers Intertidaux,Callot,Callot Herbier 3,48.6842,-3.9164
Intertidal Meuble,Callot,Callot Sables 1,48.6804333333333,-3.91748333333333
Intertidal Meuble,Callot,Callot Sables 2,48.6780166666667,-3.91831666666667
Intertidal Meuble,Callot,Callot Sables 3,48.67815,-3.92196666666667
Subtidal Meuble,Pierre Noire,PN,48.70833333,-3.866166667
Herbiers Intertidaux,Molene,Molène Herbier 1,48.3971833333333,-4.9479
Herbiers Intertidaux,Molene,Molène Herbier 2,48.3965833333333,-4.94846666666667
Herbiers Intertidaux,Molene,Molène Herbier 3,48.396,-4.9489
Bancs de Maërl,Molene,Molène Maërl 1,48.3867833333333,-4.85465
Bancs de Maërl,Molene,Molène Maërl 2,48.3876833333333,-4.85391666666667
Bancs de Maërl,Molene,Molène Maërl 3,48.3868,-4.85426666666667
Bancs de Maërl,Meaban,Meaban Maërl 1,47.5258,-2.93448333333333
Bancs de Maërl,Meaban,Meaban Maërl 2,47.5258,-2.93448333333333
Bancs de Maërl,Meaban,Meaban Maërl 3,47.5258,-2.93448333333333
Subtidal Meuble,Lorient Etel,LA,47.6451,-3.281083333
Subtidal Meuble,Lorient Etel,LB,47.64666667,-3.282733333
Subtidal Meuble,Lorient Etel,LC,47.64711667,-3.284816667
Subtidal Meuble,Lannion,LNA,48.70911667,-3.602333333
Subtidal Meuble,Lannion,LNB,48.70828333,-3.6066
Subtidal Meuble,Lannion,LNC,48.70696667,-3.6079
Intertidal Meuble,Kerjouanno,Kerjouanno Sables 1,47.52915,-2.86983333333333
Intertidal Meuble,Kerjouanno,Kerjouanno Sables 2,47.5305,-2.8709
Intertidal Meuble,Kerjouanno,Kerjouanno Sables 3,47.53215,-2.87276666666667
Bancs de Maërl,Keraliou,Keraliou Maerl 1,48.3715667,-4.41666666666666
Bancs de Maërl,Keraliou,Keraliou Maerl 2,48.3671,-4.43636666666666
Bancs de Maërl,Keraliou,Keraliou Maerl 3,48.35795,-4.44416666666666
Subtidal Meuble,Iroise,IA,48.2588,-4.892516667
Subtidal Meuble,Iroise,IB,48.25851667,-4.893783333
Subtidal Meuble,Iroise,IC,48.2575,-4.895283333
Herbiers Intertidaux,Glenan,Glénan Herbier 1,47.7118333333333,-3.9973
Herbiers Intertidaux,Glenan,Glénan Herbier 2,47.7116833333333,-3.99536666666667
Herbiers Intertidaux,Glenan,Glénan Herbier 3,47.7110166666667,-3.99381666666667
Bancs de Maërl,Glenan,Glénan Maërl 1,47.7327833333333,-4.01121666666667
Bancs de Maërl,Glenan,Glénan Maërl 2,47.7349666666667,-4.00031666666667
Bancs de Maërl,Glenan,Glénan Maërl 3,47.7284666666667,-3.96793333333333
Intertidal Meuble,Gavres,Gavres Sables 1,47.70265,-3.33511666666667
Intertidal Meuble,Gavres,Gavres Sables 2,47.7035166666667,-3.32936666666667
Intertidal Meuble,Gavres,Gavres Sables 3,47.7014166666667,-3.33045
Intertidal Meuble,Erdeven,Erdeven Sables 1,47.6930666666667,-3.34843333333333
Intertidal Meuble,Erdeven,Erdeven Sables 2,47.6929333333333,-3.32308333333333
Intertidal Meuble,Erdeven,Erdeven Sables 3,47.6903666666667,-3.30845
Intertidal Meuble,Damgan,Damgan 1,47.5130333333333,-2.55903333333333
Intertidal Meuble,Damgan,Damgan 2,47.5167666666667,-2.58245
Intertidal Meuble,Damgan,Damgan 3,47.5148166666667,-2.60263333333333
Subtidal Meuble,Concarneau,CA,47.81438333,-3.95895
Subtidal Meuble,Concarneau,CB,47.82383333,-3.957816667
Subtidal Meuble,Concarneau,CC,47.8164,-3.956366667
Bancs de Maërl,Camaret,Camaret Maërl 1,48.29685,-4.58078333333333
Bancs de Maërl,Camaret,Camaret Maërl 2,48.2933,-4.57995
Bancs de Maërl,Camaret,Camaret Maërl 3,48.29325,-4.57936666666667
Intertidal Meuble,Blancs Sablons,Blancs-Sablons 1,48.3697666666667,-4.76648333333333
Intertidal Meuble,Blancs Sablons,Blancs-Sablons 2,48.3728666666667,-4.76363333333333
Intertidal Meuble,Blancs Sablons,Blancs-Sablons 3,48.3753666666667,-4.762
Bancs de Maërl,Belle-ile,Belle-Ile Maërl 1,47.3311666666667,-3.13018333333333
Bancs de Maërl,Belle-ile,Belle-Ile Maërl 2,47.3313333333333,-3.13253333333333
Bancs de Maërl,Belle-ile,Belle-Ile Maërl 3,47.3315166666667,-3.13541666666667
Intertidal Meuble,Baie du Mont Saint-Michel,Mont Saint-Michel 1,48.6423333333333,-1.65576666666667
Intertidal Meuble,Baie du Mont Saint-Michel,Mont Saint-Michel 2,48.6418333333333,-1.65778333333333
Intertidal Meuble,Baie du Mont Saint-Michel,Mont Saint-Michel 3,48.6418333333333,-1.65943333333333
Subtidal Meuble,Saint-Brieuc,SA,48.56608333,-2.668233333
Subtidal Meuble,Saint-Brieuc,SB,48.5672,-2.66785
Subtidal Meuble,Saint-Brieuc,SC,48.56583333,-2.6663
Intertidal Meuble,Baie de Saint-Brieuc,Saint-Brieuc Sables 1,48.5527,-2.69773333333333
Intertidal Meuble,Baie de Saint-Brieuc,Saint-Brieuc Sables 2,48.5513,-2.68748333333333
Intertidal Meuble,Baie de Saint-Brieuc,Saint-Brieuc Sables 3,48.5518666666667,-2.67708333333333
Bancs de Maërl,Baie de Saint-Brieuc,Saint-Brieuc Maërl 1,48.7871333333333,-2.87
Bancs de Maërl,Baie de Saint-Brieuc,Saint-Brieuc Maërl 2,48.7872833333333,-2.90715
Bancs de Maërl,Baie de Saint-Brieuc,Saint-Brieuc Maërl 3,48.787,-2.87756666666667
Subtidal Meuble,Baie de Douarnenez Nord,DA,48.21255,-4.491083333
Subtidal Meuble,Baie de Douarnenez Nord,DB,48.21471667,-4.487416667
Subtidal Meuble,Baie de Douarnenez Nord,DC,48.20925,-4.492816667
Subtidal Meuble,Baie de Douarnenez Sud,OA,48.13255,-4.336866667
Subtidal Meuble,Baie de Douarnenez Sud,OB,48.13465,-4.325866667
Subtidal Meuble,Baie de Douarnenez Sud,OC,48.14165,-4.294616667
Subtidal Meuble,Audierne,AA,47.8672,-4.396283333
Subtidal Meuble,Audierne,AB,47.86378333,-4.396166667
Subtidal Meuble,Audierne,AC,47.86148333,-4.3949
Intertidal Meuble,Audierne,Audierne 1,47.8519333333333,-4.35263333333333
Intertidal Meuble,Audierne,Audierne 2,47.8801666666667,-4.36421666666667
Intertidal Meuble,Audierne,Audierne 3,47.914,-4.3869
Herbiers Intertidaux,Arradon,Arradon Herbier 1,47.6153166666667,-2.82571666666667
Herbiers Intertidaux,Arradon,Arradon Herbier 2,47.6152333333333,-2.82625
Herbiers Intertidaux,Arradon,Arradon Herbier 3,47.6151833333333,-2.82728333333333
Herbiers Intertidaux,Arcouest,l'Arcouest Herbier 1,48.8238833333333,-3.0211
Herbiers Intertidaux,Arcouest,l'Arcouest Herbier 2,48.82375,-3.0203
Herbiers Intertidaux,Arcouest,l'Arcouest Herbier 3,48.8238166666667,-3.01936666666667
Intertidal Meuble,Arcouest,l'Arcouest Sables 1,48.8235,-3.0211
Intertidal Meuble,Arcouest,l'Arcouest Sables 2,48.8234833333333,-3.0203
Intertidal Meuble,Arcouest,l'Arcouest Sables 3,48.8235166666667,-3.01943333333333