Kingdom,Phylum,Class,Order,Family,Genus,Species,species,Size_inf2,Size_2-5,Size_5-10,Size_10-50,Size_50-100,Size_100-200,Size_sup200,SSDF,SDF,ASF,PSF,Grazer,Pred,Scav,Parasitic,Microphagous,Macrophagous,Infaunal,Epibenthic,Tube_dweller,Burrower,Crawler,Swimmer,Attached,Mob_0,Mob_inf10,Mob_10-100,Mob_100-1000,Bioturb_N,Bioturb_S,Bioturb_B,Bioturb_UC,Bioturb_DC,Bioturb_R,Hermaphrodite,Gonochoric,Dev_asex,Dev_direct,Dev_plankto ,Dev_lecitho,Iteroparous,Semelparous,Short_life_span,Medium_life_span,Long_life_span
Animalia,Annelida,Polychaeta,Amphinomida,Amphinomidae,Pareurythoe,Pareurythoe borealis,Pareurythoe borealis,0,0,0,4,0,0,0,0,1,0,0,0,2,3,0,1,3,1,3,0,2,3,1,0,0,4,0,0,0,0,4,0,0,0,0,4,,,,,4,0,,,
Animalia,Annelida,Polychaeta,Amphinomida,Euphrosinidae,Euphrosine,Euphrosine foliosa,Euphrosine foliosa,0,0,0,4,0,0,0,0,0,0,0,0,2,2,0,0,4,0,4,0,0,4,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,4,0,4,0,,,
Animalia,Annelida,Polychaeta,Eunicida,Dorvilleidae,Dorvillea,Dorvillea rubrovittata,Dorvillea rubrovittata,0,0,0,4,0,0,0,0,2,0,0,2,3,3,0,2,2,1,3,0,1,3,1,0,0,3,1,0,0,0,4,0,0,0,0,4,0,2,0,2,,,,,
Animalia,Annelida,Polychaeta,Eunicida,Dorvilleidae,Protodorvillea,Protodorvillea kefersteini,Protodorvillea kefersteini,0,0,0,4,0,0,0,0,2,0,0,2,3,3,0,2,2,1,3,0,1,3,1,0,0,3,1,0,0,0,4,0,0,0,0,4,0,4,0,0,4,0,,,
Animalia,Annelida,Polychaeta,Eunicida,Dorvilleidae,Schistomeringos,Schistomeringos neglecta,Schistomeringos neglecta,0,0,0,4,0,0,0,0,2,0,0,2,3,3,0,2,2,1,3,0,1,3,1,0,0,3,1,0,0,0,4,0,0,0,0,4,0,0,0,4,4,0,,,
Animalia,Annelida,Polychaeta,Eunicida,Dorvilleidae,Schistomeringos,Schistomeringos rudolphi,Schistomeringos rudolphi,0,0,0,4,0,0,0,0,2,0,0,2,3,3,0,2,2,1,3,0,1,3,1,0,0,3,1,0,0,0,4,0,0,0,0,4,0,0,0,4,4,0,,,
Animalia,Annelida,Polychaeta,Eunicida,Eunicidae,Eunice,Eunice pennata,Eunice pennata,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,0,4,2,2,4,0,0,0,0,1,3,3,0,0,0,4,0,0,0,0,4,0,0,4,0,4,0,,,
Animalia,Annelida,Polychaeta,Eunicida,Eunicidae,Eunice,Eunice vittata,Eunice vittata,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,4,2,2,0,1,3,0,0,0,0,3,1,0,0,4,0,0,0,0,4,0,0,4,0,4,0,,,
Animalia,Annelida,Polychaeta,Eunicida,Eunicidae,Leodice,Leodice harassii,Leodice harassii,0,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0,4,2,2,0,1,3,0,0,0,0,3,1,0,0,4,0,0,0,0,4,0,0,4,0,4,0,0,0,4
Animalia,Annelida,Polychaeta,Eunicida,Eunicidae,Leodice,Leodice torquata,Leodice torquata,0,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0,4,2,2,0,1,3,0,0,0,0,3,1,0,0,4,0,0,0,0,4,0,4,0,0,4,0,,,
Animalia,Annelida,Polychaeta,Eunicida,Eunicidae,Lysidice,Lysidice ninetta,Lysidice ninetta,0,0,0,0,0,4,0,0,0,0,0,2,2,2,0,0,4,2,2,0,1,3,0,0,0,1,3,0,0,0,4,0,0,0,0,4,0,0,4,0,4,0,,,
Animalia,Annelida,Polychaeta,Eunicida,Eunicidae,Lysidice,Lysidice unicornis,Lysidice unicornis,0,0,0,0,0,4,0,1,1,0,0,0,3,3,0,1,3,3,1,0,3,1,0,0,0,1,3,0,0,0,4,0,0,0,0,4,0,0,4,0,4,0,,,
Animalia,Annelida,Polychaeta,Eunicida,Eunicidae,Marphysa,Marphysa bellii,Marphysa bellii,0,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0,4,3,1,0,3,1,0,0,0,3,1,0,0,0,4,0,0,0,0,4,0,0,0,4,4,0,,,
Animalia,Annelida,Polychaeta,Eunicida,Eunicidae,Marphysa,Marphysa sanguinea,Marphysa sanguinea,0,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0,4,3,1,0,3,1,0,0,0,3,1,0,0,0,4,0,0,0,0,4,0,0,0,4,4,0,,,
Animalia,Annelida,Polychaeta,Eunicida,Lumbrineridae,Hilbigneris,Hilbigneris gracilis,Hilbigneris gracilis,0,0,0,4,0,0,0,0,0,0,0,0,2,2,0,0,4,3,1,0,4,0,0,0,0,0,3,1,0,0,4,0,0,0,0,4,0,2,0,2,4,0,0,4,0
Animalia,Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineriopsis,Lumbrineriopsis paradoxa,Lumbrineriopsis paradoxa,0,0,0,4,0,0,0,0,0,0,0,0,2,2,0,0,4,3,1,0,4,0,0,0,0,0,3,1,0,0,4,0,0,0,0,4,0,2,0,2,4,0,,,
Animalia,Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineris,NA,Lumbrineris spp.,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,4,3,1,0,4,0,0,0,0,0,3,1,0,0,4,0,0,0,0,4,0,2,0,2,4,0,0,4,0
Animalia,Annelida,Polychaeta,Eunicida,Lumbrineridae,Scoletoma,NA,Scoletoma spp.,0,0,0,0,1,2,3,0,0,0,0,0,2,2,0,0,4,3,1,0,4,0,0,0,0,0,3,1,0,0,4,0,0,0,0,4,0,2,0,2,4,0,0,4,0
Animalia,Annelida,Polychaeta,Eunicida,Oenonidae,Arabella,Arabella iricolor,Arabella iricolor,0,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0,4,3,1,0,3,1,0,0,0,0,3,1,0,0,4,0,0,0,0,4,,,,,,,,,
Animalia,Annelida,Polychaeta,Eunicida,Oenonidae,Drilonereis,Drilonereis filum,Drilonereis filum,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,0,4,2,3,0,2,3,0,0,0,3,1,0,0,0,4,0,0,0,0,4,,,,,,,,,
Animalia,Annelida,Polychaeta,Eunicida,Onuphidae,Aponuphis,Aponuphis bilineata,Aponuphis bilineata,0,0,0,0,4,0,0,0,0,0,0,1,2,3,0,1,3,2,2,2,0,3,0,0,0,0,3,1,0,4,0,0,0,0,0,4,0,4,0,0,4,0,,,
Animalia,Annelida,Polychaeta,Eunicida,Onuphidae,Diopatra,NA,Diopatra spp.,0,0,0,0,2,0,2,0,1,0,0,3,0,1,0,2,2,3,1,3,0,1,0,0,0,3,1,0,0,4,0,0,0,0,0,4,0,0,0,4,4,0,0,2,2
Animalia,Annelida,Polychaeta,Eunicida,Onuphidae,Nothria,Nothria conchylega,Nothria conchylega,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,0,2,2,2,0,2,0,0,3,2,0,0,0,4,0,0,0,0,0,4,0,2,0,2,4,0,,,
Animalia,Annelida,Polychaeta,Eunicida,Onuphidae,Onuphis,Onuphis eremita,Onuphis eremita,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,4,3,1,4,0,0,0,0,3,1,0,0,0,4,0,0,0,0,0,4,0,2,0,2,4,0,,,
Animalia,Annelida,Polychaeta,NA,Arenicolidae,Arenicola,Arenicola marina,Arenicola marina,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,4,0,0,4,0,0,3,2
Animalia,Annelida,Polychaeta,NA,Capitellidae,Capitella,Capitella capitata,Capitella capitata,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,1,3,0,0,0,0,0,2,2,0,4,0,0,2,2,2,4,0,4,0,0
Animalia,Annelida,Polychaeta,NA,Capitellidae,Capitella,Capitella giardi,Capitella giardi,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,1,3,0,0,0,0,0,2,2,0,0,4,0,4,0,0,4,0,4,0,0
Animalia,Annelida,Polychaeta,NA,Capitellidae,Capitella,Capitella minima,Capitella minima,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,1,3,0,0,0,0,0,2,2,0,4,0,0,2,0,2,4,0,4,0,0
Animalia,Annelida,Polychaeta,NA,Capitellidae,Dasybranchus,Dasybranchus caducus,Dasybranchus caducus,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,1,3,0,0,0,0,0,2,2,0,0,4,0,0,0,4,4,0,4,0,0
Animalia,Annelida,Polychaeta,NA,Capitellidae,Heteromastus,Heteromastus filiformis,Heteromastus filiformis,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,1,3,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,4,4,0,0
Animalia,Annelida,Polychaeta,NA,Capitellidae,Notomastus,Notomastus latericeus,Notomastus latericeus,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,1,3,0,0,0,0,0,4,0,0,0,4,0,0,0,4,,,4,0,0
Animalia,Annelida,Polychaeta,NA,Chaetopteridae,Chaetopterus,Chaetopterus variopedatus,Chaetopterus variopedatus,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,4,0,4,0,0,0,0,4,0,0,0,0,0,0,2,2,0,0,4,0,0,4,0,4,0,4,0,0
Animalia,Annelida,Polychaeta,NA,Chaetopteridae,Spiochaetopterus,NA,Spiochaetopterus spp.,0,0,0,3,1,0,0,0,2,2,2,0,0,0,0,4,0,4,0,4,0,0,0,0,4,0,0,0,0,0,0,2,2,0,0,4,2,0,2,0,4,0,,,
Animalia,Annelida,Polychaeta,NA,Maldanidae,Euclymene,NA,Euclymene spp.,0,0,0,0,2,3,0,3,1,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,3,1,0,0,0,0,0,2,2,0,1,3,0,0,0,4,4,0,0,4,0
Animalia,Annelida,Polychaeta,NA,Maldanidae,Leiochone,Leiochone leiopygos,Leiochone leiopygos,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,3,1,0,0,0,0,0,2,2,0,0,4,0,0,0,4,4,0,,,
Animalia,Annelida,Polychaeta,NA,Maldanidae,Macroclymene,Macroclymene santanderensis,Macroclymene santanderensis,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,3,1,0,0,0,0,0,4,0,0,0,4,0,2,0,2,4,0,,,
Animalia,Annelida,Polychaeta,NA,Maldanidae,Maldane,Maldane glebifex,Maldane glebifex,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,3,1,0,0,0,0,0,4,0,0,0,4,0,2,0,2,4,0,,,
Animalia,Annelida,Polychaeta,NA,Maldanidae,Microclymene,Microclymene tricirrata,Microclymene tricirrata,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,3,1,0,0,0,0,0,2,2,0,0,4,0,2,0,2,4,0,,,
Animalia,Annelida,Polychaeta,NA,Maldanidae,NA,NA,Maldanidae spp.,0,2,2,2,2,2,2,3,1,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,3,1,0,0,0,0,0,4,0,0,1,3,0,2,0,2,4,0,,,
Animalia,Annelida,Polychaeta,NA,Maldanidae,Nicomache,Nicomache lumbricalis,Nicomache lumbricalis,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,3,1,0,0,0,0,0,2,2,0,0,4,2,2,0,2,4,0,,,
Animalia,Annelida,Polychaeta,NA,Maldanidae,Petaloproctus,Petaloproctus terricolus,Petaloproctus terricolus,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,3,1,0,0,0,0,0,2,2,0,0,4,0,2,0,2,4,0,,,
Animalia,Annelida,Polychaeta,NA,Opheliidae,Armandia,Armandia cirrhosa,Armandia cirrhosa,0,1,3,0,0,0,0,3,1,0,0,0,0,0,0,4,0,3,2,0,3,0,1,0,0,3,1,0,0,0,4,0,0,0,0,4,0,0,4,0,4,0,4,0,0
Animalia,Annelida,Polychaeta,NA,Opheliidae,Ophelia,Ophelia bicornis,Ophelia bicornis,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,0,2,2,0,0,4,0,0,0,0,4,0,0,0,4,4,0,0,2,2
Animalia,Annelida,Polychaeta,NA,Opheliidae,Ophelia,Ophelia roscoffensis,Ophelia roscoffensis,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,0,2,2,0,0,4,0,0,0,0,4,0,0,0,4,4,0,0,2,2
Animalia,Annelida,Polychaeta,NA,Opheliidae,Ophelina,NA,Ophelina spp.,0,2,3,2,0,0,0,3,1,0,0,0,0,0,0,4,0,3,1,0,3,0,1,0,0,0,2,2,0,0,4,0,0,0,0,4,0,0,2,2,,,,,
Animalia,Annelida,Polychaeta,NA,Orbiniidae,Orbinia,Orbinia latreillii,Orbinia latreillii,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,0,2,2,0,0,4,0,0,0,0,4,0,2,0,2,4,0,0,4,0
Animalia,Annelida,Polychaeta,NA,Orbiniidae,Orbinia,Orbinia sertulata,Orbinia sertulata,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,0,2,2,0,0,4,0,0,0,0,4,0,2,0,2,4,0,0,4,0
Animalia,Annelida,Polychaeta,NA,Orbiniidae,Orbinia,NA,Orbinia sp.,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,0,2,2,0,0,4,0,0,0,0,4,0,2,0,2,4,0,0,4,0
Animalia,Annelida,Polychaeta,NA,Orbiniidae,Scoloplos,Scoloplos (Scoloplos) armiger,Scoloplos (Scoloplos) armiger,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,0,2,2,0,0,4,0,0,0,0,4,0,4,0,0,4,0,0,4,0
Animalia,Annelida,Polychaeta,NA,Paraonidae,Aricidea,Aricidea (Aricidea) fragilis,Aricidea (Aricidea) fragilis,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,0,2,2,0,4,0,0,0,0,0,4,0,2,0,2,0,4,,,
Animalia,Annelida,Polychaeta,NA,Paraonidae,Aricidea,Aricidea (Aricidea) minuta,Aricidea (Aricidea) minuta,0,0,4,0,0,0,0,3,1,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,0,2,2,0,4,0,0,0,0,0,4,0,2,0,2,0,4,,,
Animalia,Annelida,Polychaeta,NA,Paraonidae,NA,NA,Paraonidae spp.,0,0,3,3,1,0,0,3,1,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,3,1,0,0,4,0,0,0,0,0,4,0,2,0,2,0,4,,,
Animalia,Annelida,Polychaeta,NA,Paraonidae,Paradoneis,Paradoneis armata,Paradoneis armata,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,3,1,0,0,4,0,0,0,0,0,4,0,2,0,2,0,4,,,
Animalia,Annelida,Polychaeta,NA,Paraonidae,Paradoneis,Paradoneis lyra,Paradoneis lyra,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,3,1,0,0,4,0,0,0,0,0,4,0,2,0,2,0,4,,,
Animalia,Annelida,Polychaeta,NA,Paraonidae,Paradoneis,NA,Paradoneis sp.,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,3,1,0,0,4,0,0,0,0,0,4,0,2,0,2,0,4,,,
Animalia,Annelida,Polychaeta,NA,Polygordiidae,Polygordius,Polygordius lacteus,Polygordius lacteus,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,0,2,2,0,4,0,0,0,0,0,4,0,0,4,0,4,0,,,
Animalia,Annelida,Polychaeta,NA,Scalibregmatidae,Asclerocheilus,Asclerocheilus intermedius,Asclerocheilus intermedius,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,2,2,0,0,0,4,0,0,0,0,4,,,,,,,,,
Animalia,Annelida,Polychaeta,NA,Scalibregmatidae,Scalibregma,Scalibregma celticum,Scalibregma celticum,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,2,2,0,0,0,4,0,0,0,0,4,,,,,4,0,4,0,0
Animalia,Annelida,Polychaeta,NA,Scalibregmatidae,Sclerocheilus,Sclerocheilus minutus,Sclerocheilus minutus,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,2,2,0,0,0,4,0,0,0,0,4,,,,,,,,,
Animalia,Annelida,Polychaeta,NA,Travisiidae,Travisia,Travisia forbesii,Travisia forbesii,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,0,2,2,0,0,4,0,0,0,0,4,0,4,0,0,4,0,,,
Animalia,Annelida,Polychaeta,Phyllodocida,Aphroditidae,Aphrodita,Aphrodita aculeata,Aphrodita aculeata,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,0,4,2,2,0,0,4,0,0,0,0,1,3,0,0,4,0,0,0,0,4,0,2,0,2,4,0,0,0,4
Animalia,Annelida,Polychaeta,Phyllodocida,Aphroditidae,Laetmonice,Laetmonice hystrix,Laetmonice hystrix,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,4,2,2,0,0,4,0,0,0,0,1,3,0,0,4,0,0,0,0,4,0,0,0,4,4,0,0,0,4
Animalia,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,Glycera lapidum,Glycera lapidum,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,4,3,1,0,3,2,1,0,0,0,1,3,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,4,0
Animalia,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,Glycera tridactyla,Glycera tridactyla,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,4,3,1,0,3,2,1,0,0,0,1,3,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,4,0
Animalia,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,NA,Glycera spp.,0,0,0,0,3,2,1,0,0,0,0,0,2,2,0,0,4,3,1,0,3,2,1,0,0,0,1,3,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,4,0
Animalia,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde,Glycinde nordmanni,Glycinde nordmanni,0,0,0,0,4,0,0,0,0,0,0,0,3,2,0,0,4,4,0,0,4,0,0,0,0,1,3,0,0,0,4,0,0,0,,,0,0,0,4,,,4,0,0
Animalia,Annelida,Polychaeta,Phyllodocida,Goniadidae,Goniada,NA,Goniada spp.,0,0,0,0,2,2,2,0,0,0,0,0,3,2,0,0,4,4,0,0,4,0,0,0,0,1,3,0,0,0,4,0,0,0,,,0,0,4,0,,,4,0,0
Animalia,Annelida,Polychaeta,Phyllodocida,Goniadidae,Goniadella,NA,Goniadella spp.,0,0,0,4,0,0,0,0,0,0,0,0,3,2,0,0,4,4,0,0,4,0,0,0,0,2,2,0,0,0,4,0,0,0,,,,,,,,,,,
Animalia,Annelida,Polychaeta,Phyllodocida,Hesionidae,Gyptis,Gyptis propinqua,Gyptis propinqua,0,0,4,0,0,0,0,0,0,0,0,0,3,2,0,2,2,0,4,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,4,0,4,0,,,
Animalia,Annelida,Polychaeta,Phyllodocida,Hesionidae,Hesione,Hesione splendida,Hesione splendida,0,0,0,0,4,0,0,0,0,0,0,0,3,2,0,2,2,0,4,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,4,0,4,0,,,
Animalia,Annelida,Polychaeta,Phyllodocida,Hesionidae,Hesiospina,Hesiospina aurantiaca,Hesiospina aurantiaca,0,0,0,4,0,0,0,0,0,0,0,0,3,2,0,2,2,0,4,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,4,0,4,0,,,
Animalia,Annelida,Polychaeta,Phyllodocida,Hesionidae,Nereimyra,Nereimyra punctata,Nereimyra punctata,0,0,0,4,0,0,0,0,0,0,0,0,3,2,0,4,0,3,1,0,3,1,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,4,0,4,0,,,
Animalia,Annelida,Polychaeta,Phyllodocida,Hesionidae,Oxydromus,Oxydromus flexuosus,Oxydromus flexuosus,0,0,0,0,4,0,0,0,0,0,0,0,3,2,0,2,2,0,4,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,4,0,4,0,4,0,0
Animalia,Annelida,Polychaeta,Phyllodocida,Hesionidae,Oxydromus,Oxydromus pallidus,Oxydromus pallidus,0,0,4,0,0,0,0,0,0,0,0,0,3,2,0,2,2,0,4,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,4,0,4,0,4,0,0
Animalia,Annelida,Polychaeta,Phyllodocida,Hesionidae,Psamathe,Psamathe fusca,Psamathe fusca,0,0,0,0,4,0,0,0,0,0,0,0,3,2,0,2,2,0,4,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,4,0,4,0,,,
Animalia,Annelida,Polychaeta,Phyllodocida,Hesionidae,Syllidia,Syllidia armata,Syllidia armata,0,0,4,0,0,0,0,0,0,0,0,0,3,2,0,2,2,0,4,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,4,0,4,0,,,
Animalia,Annelida,Polychaeta,Phyllodocida,Lacydoniidae,Lacydonia,Lacydonia miranda,Lacydonia miranda,0,4,0,0,0,0,0,2,0,0,0,0,2,0,0,4,0,3,1,0,2,2,0,0,0,3,1,0,0,4,0,0,0,0,0,4,,,,,,,,,
